BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
Brokered by RE MAX Elite,House for sale,725000,4,2.0,2000.0,Richmond County,40.6199521,-74.1237895,181250.0,362.5
"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC",House for sale,998888,3,2.0,1780.0,Kings County,40.6117545,-74.0323281,332962.6666666667,561.1730337078652
Brokered by RE MAX Edge,Multi-family home for sale,980000,3,4.0,2700.0,Kings County,40.586018,-73.9252126,326666.6666666667,362.962962962963
Brokered by Sold By Bart R E Partners Inc,House for sale,800000,3,2.0,2184.207862,Queens County,40.71593,-73.8858453,266666.6666666667,366.265507014277
Brokered by CENTURY 21 Marciano,House for sale,1299000,3,4.0,4450.0,Bronx County,40.854862,-73.7906694,433000.0,291.91011235955057
Brokered by Madison Estates Sotheby's International Realty,House for sale,799000,3,2.0,1128.0,Kings County,40.6169213,-73.9415274,266333.3333333333,708.3333333333334
Brokered by Elite Real Estate Group 1 Llc,House for sale,995000,3,2.0,3080.0,Bronx County,40.8513854,-73.854324,331666.6666666667,323.05194805194805
Brokered by Ashford Homes LLC,House for sale,1250000,5,3.0,2295.0,Kings County,40.617019,-73.9878352,250000.0,544.6623093681917
Brokered by Tiffany Moves You Inc,Multi-family home for sale,1275000,3,4.0,2184.207862,Queens County,40.7675169,-73.7439734,425000.0,583.735651804004
Brokered by YourHomeSold Guarantee Realty,Multi-family home for sale,749999,6,3.0,3150.0,Bronx County,40.8453955,-73.868163,124999.83333333333,238.09492063492064
Brokered by Serhant,Townhouse for sale,2650000,5,4.0,4100.0,Kings County,40.6711016,-73.9473427,530000.0,646.3414634146342
Brokered by Yoreevo,Co-op for sale,999000,2,1.0,2184.207862,New York,40.7866659,-73.974142,499500.0,457.37405188407837
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,279000,2,1.0,2184.207862,Queens,40.7069299,-73.82404,139500.0,127.7350955712291
Brokered by Ditommaso Real Estate,Condo for sale,479000,2,2.0,1008.0,Staten Island,40.5782884,-74.1583011,239500.0,475.1984126984127
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2300000,2,2.0,1600.0,New York County,40.7236159,-73.9781735,1150000.0,1437.5
Brokered by Signature Premier Properties,Pending,294000,1,2.0,1074.0,Queens,40.7577991,-73.7159564,294000.0,273.74301675977654
Brokered by Exp Realty,Multi-family home for sale,1390000,6,5.0,2245.0,Queens County,40.7111134,-73.7361784,231666.66666666666,619.1536748329621
Brokered by COMPASS,Co-op for sale,450000,3,2.0,1026.0,Queens,40.7323502,-73.8611654,150000.0,438.5964912280702
Brokered by Bond New York- Columbus Circle,Co-op for sale,999000,3,2.0,2184.207862,New York,40.7982086,-73.9680164,333000.0,457.37405188407837
"Brokered by Robert Defalco Realty, Inc.",House for sale,1999000,4,4.0,3420.0,Richmond County,40.5939144,-74.1059876,499750.0,584.5029239766081
Brokered by BLACKWATER ASSOCIATES INC,Mobile house for sale,1288000,6,3.0,2184.207862,Queens County,40.760908,-73.861558,214666.66666666666,589.687466292986
NoBroker,Multi-family home for sale,639888,5,3.0,1376.0,Richmond County,40.5564024,-74.1975285,127977.6,465.0348837209302
Brokered by COMPASS,House for sale,569900,4,2.0,2180.0,Richmond County,40.6395577,-74.0807615,142475.0,261.42201834862385
Brokered by Sweet Key Realty Group Inc,House for sale,1630000,7,4.0,2184.207862,Queens County,40.7704732,-73.7318799,232857.14285714287,746.2659705415894
Brokered by EXIT REALTY ACHIEVE,Multi-family home for sale,689888,3,2.0,1300.0,Queens County,40.6780811,-73.8188973,229962.66666666666,530.6830769230769
Brokered by E Realty International Corp,Co-op for sale,378000,2,1.0,2184.207862,Queens,40.7341999,-73.81974,189000.0,173.06045206424588
Brokered by Corcoran Westside Columbus,Townhouse for sale,23900000,6,2.3738608579684373,7110.0,New York County,40.7785441,-73.9840907,3983333.3333333335,3361.462728551336
Brokered by O Kane Realty,Co-op for sale,149000,1,1.0,2184.207862,Queens,40.7581299,-73.8569399,149000.0,68.21695068140909
Brokered by Re/Max Edge,House for sale,589000,4,3.0,1320.0,Richmond County,40.63567,-74.166895,147250.0,446.2121212121212
Brokered by ProBase Real Estate,Pending,958000,3,2.0,2259.0,Richmond County,40.5292852,-74.1685622,319333.3333333333,424.0814519698982
Brokered by East Coast REALTORS Inc,Co-op for sale,195000,1,1.0,2184.207862,Queens,40.7659255,-73.7453922,195000.0,89.27721733473001
Brokered by Comfort Homes Realty Group,House for sale,299000,1,1.0,608.0,Richmond County,40.5638362,-74.0989788,299000.0,491.7763157894737
Brokered by RE MAX 1st Choice,House for sale,1750000,4,4.0,3645.0,Queens County,40.7968959,-73.822999,437500.0,480.10973936899865
Brokered by Douglas Elliman - Bayside,Townhouse for sale,815000,3,2.0,2184.207862,Queens County,40.722658,-73.877617,271666.6666666667,373.1329852707947
Brokered by Best American Homes Inc,Multi-family home for sale,989000,5,3.0,2184.207862,Queens County,40.7531679,-73.8836878,197800.0,452.7957330463999
Brokered by Corcoran Park Slope,Condo for sale,1075000,2,2.0,2184.207862,New York County,40.7507895,-73.9974127,537500.0,492.1692750504347
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,879000,2,1.0,1000.0,New York,40.7615369,-73.9579786,439500.0,879.0
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,999995,2,1.0,2184.207862,New York,40.7321997,-73.9888999,499997.5,457.8295946084274
"Brokered by Robert E. Hill, Inc.",Co-op for sale,430000,2,2.0,1200.0,The Bronx,40.8830657,-73.9206428,215000.0,358.3333333333333
NoBroker,Co-op for sale,445000,3,2.0,2184.207862,Queens,40.7547252,-73.8255572,148333.33333333334,203.73518827669156
Brokered by RE MAX Real Estate Professionals,House for sale,999000,3,2.0,1900.0,Kings County,40.6228038,-74.0109676,333000.0,525.7894736842105
Brokered by Keller Williams Realty Greater Nassau,House for sale,2299000,6,4.0,2184.207862,Queens County,40.7171982,-73.8496941,383166.6666666667,1052.5555007822784
Brokered by Tapestry Real Estate of Queens,House for sale,1225000,4,2.0,1960.0,Queens County,40.7684802,-73.7666662,306250.0,625.0
Brokered by EXIT REALTY ONE,House for sale,849000,3,2.0,2184.207862,Queens County,40.7282284,-73.8732527,283000.0,388.69926931890143
Brokered by Winzone Realty Inc,House for sale,1350000,4,3.0,1760.0,Queens County,40.7293576,-73.7830175,337500.0,767.0454545454545
"Brokered by NEUHAUS REALTY, INC.",House for sale,1600000,4,4.0,3150.0,Richmond County,40.5364873,-74.1987178,400000.0,507.93650793650795
Brokered by COMPASS,Condo for sale,600000,3,1.0,441.0,New York,40.7691094,-73.98162,200000.0,1360.544217687075
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,435000,3,1.0,2184.207862,New York,40.7799639,-73.9841598,145000.0,199.15686943901312
"Brokered by Compass Greater New York, LLC",Pending,4999999,4,4.0,4342.0,Kings County,40.6301693,-74.0384351,1249999.75,1151.542837402119
Brokered by Corcoran East Side,Pending,800000,3,2.3738608579684373,2184.207862,Kings County,40.6388264,-73.8846089,266666.6666666667,366.265507014277
"Brokered by Compass Greater New York, LLC",Co-op for sale,329000,1,1.0,750.0,Brooklyn,40.61593,-74.0335829,329000.0,438.6666666666667
Brokered by Brown Harris Stevens,Townhouse for sale,10975000,3,4.0,2184.207862,Kings County,40.6963652,-73.9941542,3658333.3333333335,5024.704924352112
Brokered by Keystone Realty USA Corp,House for sale,599000,4,2.0,2184.207862,Queens County,40.7003331,-73.7875164,149750.0,274.2412983769399
Brokered by Chase Global Realty Corp,House for sale,699999,4,2.0,2184.207862,Kings County,40.6862137,-73.8740777,174999.75,320.48186080560856
Brokered by Keller Williams Rlty Landmark,Pending,539000,1,1.0,725.0,Queens,40.7865988,-73.7862803,539000.0,743.448275862069
Brokered by ETPG - Eastpointe Properties Group,Co-op for sale,370000,3,1.0,2184.207862,New York,40.7450423,-73.9839731,123333.33333333333,169.3977969941031
Brokered by BRPI - Brooklyn Real Property,Townhouse for sale,1499000,9,6.0,2184.207862,Kings County,40.583514,-73.9738903,166555.55555555556,686.2899937680015
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,299000,1,1.0,2184.207862,New York,40.7538054,-73.9935323,299000.0,136.89173324658603
Brokered by NEUHAUS REALTY INC.,House for sale,2400000,5,4.0,3800.0,Richmond County,40.5752476,-74.1304878,480000.0,631.578947368421
Brokered by Avenues - Headquarters,Condo for sale,275000,1,1.0,850.0,Brooklyn,40.6056272,-73.943238,275000.0,323.52941176470586
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,1395000,3,3.0,1750.0,New York,40.7971343,-73.9722076,465000.0,797.1428571428571
Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1.0,550.0,Brooklyn,40.6141211,-73.9966616,284000.0,1032.7272727272727
Brokered by Alexiou Realty,Multi-family home for sale,1049000,3,2.0,2184.207862,Queens County,40.7751162,-73.902397,349666.6666666667,480.2656460724707
Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1.0,550.0,Brooklyn,40.6141211,-73.9966616,284000.0,1032.7272727272727
Brokered by Alexiou Realty,Multi-family home for sale,1049000,3,2.0,2184.207862,Queens County,40.7751162,-73.902397,349666.6666666667,480.2656460724707
Brokered by E Realty International Corp,House for sale,899000,4,2.0,1200.0,Queens County,40.7791608,-73.8257555,224750.0,749.1666666666666
Brokered by Keller Williams NYC,Co-op for sale,495000,1,1.0,2184.207862,New York,40.7885633,-73.9767931,495000.0,226.6267824650839
"Brokered by Nest Seekers International, Midtown",House for sale,535000,3,3.0,1328.0,Bronx County,40.8355073,-73.9119966,178333.33333333334,402.8614457831325
Brokered by Gillani Homes Inc.,House for sale,799999,3,2.0,1596.0,Richmond County,40.5419604,-74.1682869,266666.3333333333,501.2525062656642
Brokered by COMPASS,Condo for sale,1989000,2,2.0,1274.0,New York,40.7603978,-73.9919328,994500.0,1561.2244897959183
Brokered by RE MAX Voyage,House for sale,699000,6,4.0,2223.0,Bronx County,40.818678,-73.8954715,116500.0,314.4399460188934
Brokered by EXIT REALTY GROUP,Co-op for sale,369000,1,1.0,900.0,New York,40.8763984,-73.9184692,369000.0,410.0
Brokered by Realty Trends Corp,House for sale,599000,4,4.0,2100.0,Queens County,40.6083635,-73.7565424,149750.0,285.23809523809524
Brokered by GOLDEN REAL CORP.,Co-op for sale,169000,1,1.0,680.0,Brooklyn,40.6150193,-73.9464928,169000.0,248.52941176470588
Brokered by Elite Real Estate Group 1 Llc,House for sale,749000,3,2.0,1600.0,Bronx County,40.8544909,-73.8490394,249666.66666666666,468.125
Brokered by RAIMONDO RONALD,House for sale,1099000,5,4.0,3500.0,Richmond County,40.5457789,-74.1847061,219800.0,314.0
Brokered by EXP Realty,Townhouse for sale,475000,2,2.0,1364.0,Richmond County,40.5634891,-74.1422664,237500.0,348.24046920821115
"Brokered by Weichert, Realtors - Larchmont",Co-op for sale,124900,1,1.0,676.0,The Bronx,40.880833,-73.8758596,124900.0,184.76331360946745
Brokered by RE/MAX Elite,Contingent,619000,3,2.0,1943.0,Richmond County,40.5478529,-74.1993422,206333.33333333334,318.57951621204325
"Brokered by Neuhaus Realty, Inc.",Contingent,599000,3,1.0,1008.0,Richmond County,40.5819307,-74.1025463,199666.66666666666,594.2460317460317
Brokered by Wonica REALTORS & Appraisers,Contingent,689900,3,2.0,1486.0,Richmond County,40.6126021,-74.0930021,229966.66666666666,464.2664872139973
Brokered by Corcoran Williamsburg Bedford,House for sale,5900000,7,8.0,10100.0,Bronx County,40.897896,-73.903306,842857.1428571428,584.1584158415842
Brokered by Exp Realty,Condo for sale,249000,2,1.0,815.0,Bronx County,40.840962,-73.854142,124500.0,305.52147239263803
NoBroker,Condo for sale,509000,3,1.0,2184.207862,Queens,40.7544029,-73.876343,169666.66666666666,233.03642883783374
Brokered by Red Door Realty Group,Townhouse for sale,549000,3,2.0,1150.0,Richmond County,40.5032035,-74.2388518,183000.0,477.39130434782606
Brokered by Brown Harris Stevens,Townhouse for sale,2995000,4,6.0,2184.207862,Kings County,40.6819529,-73.9373297,748750.0,1371.2064918846995
Brokered by Re/Max In The City,Multi-family home for sale,1999000,6,4.0,3850.0,Bronx County,40.9110703,-73.9017893,333166.6666666667,519.2207792207793
Brokered by Rock Home Realty Group Inc,Multi-family home for sale,350000,3,2.3738608579684373,2184.207862,Bronx County,40.8585142,-73.8918995,116666.66666666667,160.24115931874618
Brokered by Exp Realty,Co-op for sale,269000,1,1.0,2184.207862,Queens,40.7759232,-73.9087334,269000.0,123.15677673355063
Brokered by TREBACH REALTY INC,House for sale,7500000,6,2.3738608579684373,2184.207862,Bronx County,40.8982423,-73.904797,1250000.0,3433.739128258847
"Brokered by Sotheby's International Realty, Inc.",Townhouse for sale,9950000,10,10.0,2184.207862,New York County,40.7852855,-73.9560385,995000.0,4555.4272434900695
Brokered by COMPASS,Condo for sale,2200000,3,4.0,1779.0,New York,40.7685084,-73.9499965,733333.3333333334,1236.6498032602585
Brokered by PREMIERE REAL ESTATE GROUP INC,House for sale,479000,4,2.0,1800.0,Queens County,40.6714818,-73.7606794,119750.0,266.1111111111111
Brokered by COMPASS,Co-op for sale,60000000,8,8.0,2184.207862,New York,40.7756423,-73.9642465,7500000.0,27469.913026070775
Brokered by Benjamin Realty Since 1980,Co-op for sale,329000,1,1.0,2184.207862,Queens,40.7193051,-73.8453248,329000.0,150.6266897596214
Brokered by Douglas Elliman  -111 Fifth Ave,Pending,1500000,5,7.0,4384.0,New York County,40.8354875,-73.9459545,300000.0,342.15328467153284
Brokered by Sowae Corp,Multi-family home for sale,560000,3,2.3738608579684373,2184.207862,Kings County,40.632221,-73.955309,186666.66666666666,256.3858549099939
Brokered by The Bouklis Group - The Bouklis Group Astoria,Townhouse for sale,588000,4,3.0,2160.0,The Bronx,40.8678944,-73.9078533,147000.0,272.22222222222223
Brokered by Corcoran Westside Columbus,Condo for sale,3300000,2,2.0,1652.0,New York County,40.7720149,-73.9555341,1650000.0,1997.5786924939466
Brokered by PREMIERE REAL ESTATE GROUP INC,House for sale,479000,4,2.0,1800.0,Queens County,40.6714818,-73.7606794,119750.0,266.1111111111111
Brokered by COMPASS,Co-op for sale,169999,2,1.0,2184.207862,Queens,40.7579027,-73.8562374,84999.5,77.8309624086501
Brokered by R New York,Co-op for sale,439000,1,1.0,950.0,Staten Island,40.638118,-74.073964,439000.0,462.10526315789474
Brokered by Tscherne Realty Inc,House for sale,758000,3,2.0,1760.0,Queens County,40.708633,-73.865415,252666.66666666666,430.6818181818182
Brokered by B Square Realty,Co-op for sale,448000,3,1.0,2184.207862,Queens,40.7932677,-73.7984822,149333.33333333334,205.10868392799512
Brokered by The Bouklis Group - The Bouklis Group Astoria,Townhouse for sale,588000,4,3.0,2160.0,The Bronx,40.8678944,-73.9078533,147000.0,272.22222222222223
Brokered by COMPASS,Townhouse for sale,2977000,4,4.0,2601.0,Kings County,40.6834305,-74.005483,744250.0,1144.559784698193
Brokered by Brown Harris Stevens,Co-op for sale,385000,1,1.0,900.0,The Bronx,40.876794,-73.9177034,385000.0,427.77777777777777
Brokered by All Going Realty Llc,House for sale,1475000,5,4.0,1928.0,Queens County,40.5999698,-73.7455103,295000.0,765.0414937759336
Brokered by Mitra Hakimi Realty Group LLC,House for sale,978000,3,2.0,2184.207862,Queens County,40.7337126,-73.7765367,326000.0,447.7595823249536
Brokered by COMPASS,Condo for sale,2700000,3,3.0,1398.0,Brooklyn,40.7320824,-73.9610327,900000.0,1931.3304721030042
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,House for sale,3500000,24,8.0,9500.0,Kings County,40.6717953,-73.9407352,145833.33333333334,368.42105263157896
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,349000,2,1.0,900.0,The Bronx,40.8802558,-73.9168342,174500.0,387.77777777777777
Brokered by RE MAX Frontier,Townhouse for sale,790000,3,2.0,1596.0,Queens County,40.7761945,-73.8477672,263333.3333333333,494.9874686716792
Brokered by Corcoran West Side Gallery,Condo for sale,750000,2,2.0,995.0,Queens,40.7784107,-73.7810479,375000.0,753.7688442211055
Brokered by Brown Harris Stevens,Co-op for sale,1195000,3,3.0,995.0,The Bronx,40.8830898,-73.9165737,398333.3333333333,1201.0050251256282
Brokered by COMPASS,Co-op for sale,1750000,3,3.0,995.0,New York,40.7989206,-73.9723967,583333.3333333334,1758.7939698492462
Brokered by Keller Williams Realty West Monmouth,House for sale,874999,3,2.0,2868.0,Richmond County,40.5771798,-74.119431,291666.3333333333,305.0903068340307
Brokered by Coldwell Banker M&D Good Life,Co-op for sale,324900,1,1.0,900.0,New York,40.8716437,-73.9178483,324900.0,361.0
Brokered by Exit Realty DKC,Co-op for sale,97500,2,1.0,791.0,The Bronx,40.8279037,-73.881623,48750.0,123.26169405815423
Brokered by COMPASS,Condo for sale,2200000,2,2.0,2035.0,New York,40.7708684,-73.966733,1100000.0,1081.081081081081
Brokered by Momentum Real Estate LLC,Contingent,999000,4,4.0,1798.0,Richmond County,40.6032357,-74.0737747,249750.0,555.6173526140155
Brokered by RE/MAX Team,House for sale,550000,2,2.0,995.0,Bronx County,40.8209689,-73.8074205,275000.0,552.7638190954774
Brokered by RE MAX 1st Choice,Co-op for sale,519999,3,2.0,1100.0,Queens,40.7551143,-73.8752634,173333.0,472.72636363636366
Brokered by JM Properties,House for sale,729000,2,1.0,1100.0,Richmond County,40.5343207,-74.1998415,364500.0,662.7272727272727
Brokered by Bhuiyan Properties LLC,Contingent,999999,12,6.0,3900.0,Kings County,40.6589824,-73.9920247,83333.25,256.41
Brokered by Staten Island Premiere Properties,House for sale,2898555,5,5.0,7200.0,Richmond County,40.5203019,-74.1780566,579711.0,402.57708333333335
Brokered by Exit All Seasons Realty,House for sale,611999,3,2.0,2184.207862,Queens County,40.6973209,-73.7315945,203999.66666666666,280.1926550340381
Brokered by RE MAX City Square,House for sale,1500000,3,3.0,2100.0,Kings County,40.5786182,-73.9420211,500000.0,714.2857142857143
Brokered by CENTURY 21 MK Realty,House for sale,5600000,5,4.0,4959.0,Kings County,40.611854,-73.9477154,1120000.0,1129.2599314377899
Brokered by De Luca Realty Group INC,Co-op for sale,299999,2,1.0,857.0,The Bronx,40.8227774,-73.8084775,149999.5,350.0571761960327
Brokered by NEUHAUS REALTY INC.,House for sale,2358000,4,5.0,6300.0,Richmond County,40.5467194,-74.1923203,589500.0,374.2857142857143
"Brokered by Tom Crimmins Realty, Ltd.",House for sale,748888,2,2.0,1260.0,Richmond County,40.6131085,-74.1603745,374444.0,594.3555555555556
"Brokered by Robert DeFalco Realty, Inc.",House for sale,630000,2,2.0,1450.0,Richmond County,40.5604211,-74.1344639,315000.0,434.48275862068965
Brokered by Mcgrath Realty Inc.,Condo for sale,1389000,2,2.0,1043.0,New York,40.849705,-73.94014,694500.0,1331.7353787152445
Brokered by Keller Williams Points North,Co-op for sale,319000,2,1.0,925.0,Queens,40.7355842,-73.8491198,159500.0,344.86486486486484
Brokered by Sowae Corp,House for sale,319000,3,1.0,2184.207862,Richmond County,40.6242127,-74.1357292,106333.33333333333,146.04837092194293
Brokered by COMPASS REALTY CENTRAL INC,Pending,1250000,6,4.0,2184.207862,Richmond County,40.5022937,-74.2429452,208333.33333333334,572.2898547098077
Brokered by COMPASS,Multi-family home for sale,1199000,4,3.0,1848.0,Queens County,40.7349473,-73.7733194,299750.0,648.8095238095239
Brokered by UNITED NATIONAL REALTY,Multi-family home for sale,1500000,6,4.0,3328.0,Richmond County,40.585111,-74.1036081,250000.0,450.72115384615387
"Brokered by Brooklyn Real Property, Inc",House for sale,780000,3,2.0,1320.0,Kings County,40.6384339,-73.8899834,260000.0,590.9090909090909
Brokered by Ubiq,Co-op for sale,350000,2,1.0,2184.207862,New York,40.8255972,-73.9529963,175000.0,160.24115931874618
Brokered by CENTURY 21 Homefront,Co-op for sale,255000,1,1.0,750.0,Brooklyn,40.5792324,-73.9713245,255000.0,340.0
Brokered by E House Realty & Mgt. Inc.,Condo for sale,649000,2,2.0,905.0,Kings County,40.5855131,-73.9883977,324500.0,717.1270718232045
Brokered by E Realty International Corp,House for sale,1480000,4,4.0,1596.0,Queens County,40.7699832,-73.8257555,370000.0,927.3182957393484
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,628000,3,2.0,1824.0,Richmond County,40.5755968,-74.1636272,209333.33333333334,344.29824561403507
Brokered by CENTURY 21 Future Homes Realty,Co-op for sale,190000,2,1.0,875.0,The Bronx,40.8766081,-73.8998497,95000.0,217.14285714285714
Brokered by Acadia Real Estate Grp LLC,Condo for sale,450000,2,1.0,2184.207862,Queens,40.7541793,-73.8310866,225000.0,206.0243476955308
"Brokered by Robert DeFalco Realty, Inc.",Contingent,2473888,4,6.0,5600.0,Richmond County,40.5464716,-74.1880551,618472.0,441.7657142857143
Brokered by DiTommaso Real Estate,Contingent,785000,3,2.0,1950.0,Richmond County,40.5990416,-74.0674289,261666.66666666666,402.56410256410254
Brokered by EXIT ALL SEASONS REALTY,House for sale,699900,3,2.0,1240.0,Queens County,40.71397,-73.8970573,233300.0,564.4354838709677
Brokered by Corcoran Long Island City,Multi-family home for sale,2495000,3,4.0,2184.207862,Queens County,40.7679759,-73.899664,831666.6666666666,1142.2905500007764
Brokered by Houlihan Lawrence,Co-op for sale,149999,1,1.0,850.0,The Bronx,40.8992144,-73.8624103,149999.0,176.46941176470588
Brokered by New York Residential R E,Co-op for sale,208000,1,1.0,610.0,New York,40.7398044,-73.9980373,208000.0,340.9836065573771
Brokered by Pride Estates,Pending,172800,1,1.0,750.0,Brooklyn,40.6149015,-73.9185548,172800.0,230.4
Brokered by Lombardo Homes & Estates,Multi-family home for sale,1768888,10,10.0,3933.0,Kings County,40.6410259,-74.0112793,176888.8,449.75540300025426
Brokered by J Milo Real Estate,Multi-family home for sale,1239998,4,4.0,2250.0,Richmond County,40.5355587,-74.2075918,309999.5,551.1102222222222
Brokered by Link Ny Realty,Multi-family home for sale,1699000,9,5.0,5500.0,Bronx County,40.8754624,-73.8807502,188777.77777777778,308.90909090909093
Brokered by Signature Premier Properties,House for sale,1350000,3,3.0,2184.207862,Queens County,40.724706,-73.7957477,450000.0,618.0730430865924
"Brokered by Robert Defalco Realty, Inc.",House for sale,889000,3,2.0,2362.0,Richmond County,40.5395766,-74.1810757,296333.3333333333,376.37595258255715
Brokered by Corcoran Brooklyn Heights,Condo for sale,1300000,2,2.0,1100.0,Brooklyn,40.6746458,-73.9992831,650000.0,1181.8181818181818
Brokered by Douglas Elliman - New Hyde Park,Co-op for sale,310000,2,1.0,675.0,Queens,40.7444053,-73.7237661,155000.0,459.25925925925924
Brokered by Blue Key Real Estate Brokerage,Multi-family home for sale,11000000,50,50.0,22035.0,Kings County,40.6376964,-73.9048363,220000.0,499.20580894032224
Brokered by RE MAX Edge,Pending,1149000,7,4.0,3617.0,Bronx County,40.8343858,-73.8590313,164142.85714285713,317.6665745092618
Brokered by Miller & Miller Real Estate,Co-op for sale,239900,1,1.0,585.0,Queens,40.7516659,-73.7183001,239900.0,410.0854700854701
Brokered by Tworealestate Llc,Co-op for sale,257000,3,1.0,450.0,Brooklyn,40.5756277,-73.9667833,85666.66666666667,571.1111111111111
Brokered by Midas Realty,Condo for sale,1090000,2,2.0,1860.0,Queens,40.7879226,-73.7863723,545000.0,586.0215053763441
Brokered by Budget Real Estate Nyc Inc,Multi-family home for sale,799999,6,2.3738608579684373,2184.207862,Kings County,40.6245872,-73.9219517,133333.16666666666,366.2650491823932
"Brokered by Harlem Lofts Inc.- Harlem Lofts, Inc.",Townhouse for sale,2045000,6,4.0,3976.0,New York County,40.8305666,-73.9469641,340833.3333333333,514.3360160965794
"Brokered by Robert DeFalco Realty, Inc.",Multi-family home for sale,1195000,3,2.0,2700.0,Richmond County,40.5424657,-74.1746625,398333.3333333333,442.5925925925926
Brokered by CENTURY 21 Galvez,Co-op for sale,340000,2,1.0,900.0,The Bronx,40.8919476,-73.8973687,170000.0,377.77777777777777
Brokered by RE MAX 1st Choice,House for sale,1375000,6,2.0,1596.0,Queens County,40.7681033,-73.8107752,229166.66666666666,861.5288220551379
Brokered by Taranto Realty,House for sale,749000,3,1.0,1644.0,Richmond County,40.6267035,-74.1052076,249666.66666666666,455.59610705596106
Brokered by Keller Williams Realty Liberty,Pending,1399000,5,4.0,2184.207862,Queens County,40.6960034,-73.8584205,279800.0,640.5068053912169
Brokered by COMPASS,Co-op for sale,775000,3,2.0,1880.0,New York,40.7636632,-73.9655082,258333.33333333334,412.2340425531915
Brokered by Midas Realty,Condo for sale,1090000,2,2.0,1860.0,Queens,40.7879226,-73.7863723,545000.0,586.0215053763441
Brokered by CENTURY 21 Galvez,Co-op for sale,340000,2,1.0,900.0,The Bronx,40.8919476,-73.8973687,170000.0,377.77777777777777
Brokered by Voro Llc,Multi-family home for sale,948000,7,3.0,2184.207862,Queens County,40.694328,-73.7581979,135428.57142857142,434.0246258119182
Brokered by Keller Williams Realty Liberty,Pending,1399000,5,4.0,2184.207862,Queens County,40.6960034,-73.8584205,279800.0,640.5068053912169
Brokered by EXP Realty,House for sale,880000,3,2.0,2184.207862,Queens County,40.7439956,-73.908547,293333.3333333333,402.89205771570465
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,699000,1,1.0,600.0,New York,40.7794608,-73.979919,699000.0,1165.0
Brokered by COMPASS,Co-op for sale,2250000,4,3.0,2184.207862,New York County,40.7830893,-73.9713177,562500.0,1030.121738477654
Brokered by COMPASS,Co-op for sale,319000,3,1.0,2184.207862,New York,40.8153009,-73.9380717,106333.33333333333,146.04837092194293
Brokered by True Homes Inc,Multi-family home for sale,1300000,6,3.0,2184.207862,Kings County,40.6236835,-73.9213087,216666.66666666666,595.1814488982001
Brokered by Fillmore Real Estate,Multi-family home for sale,729000,3,3.0,1800.0,Kings County,40.6391205,-73.9112362,243000.0,405.0
Brokered by Real Broker Llc,Condo for sale,425000,2,2.0,800.0,The Bronx,40.8848915,-73.9110436,212500.0,531.25
Brokered by Corcoran West Side Gallery,Co-op for sale,399000,1,1.0,2184.207862,New York,40.7723985,-73.9482206,399000.0,182.67492162337064
Brokered by Corcoran Brooklyn Heights,Co-op for sale,625000,3,1.0,652.0,Brooklyn Heights,40.702334,-73.9937463,208333.33333333334,958.5889570552147
Brokered by Mjr Real Estate Llc,Co-op for sale,269000,1,1.0,700.0,Queens,40.7318958,-73.8599645,269000.0,384.2857142857143
Brokered by UNITED NATIONAL REALTY,Condo for sale,449000,2,2.0,1440.0,Richmond County,40.580134,-74.154154,224500.0,311.80555555555554
Brokered by Keystone Realty USA Corp,Multi-family home for sale,699000,8,5.0,2300.0,Bronx County,40.8460907,-73.8887912,87375.0,303.9130434782609
Brokered by COMPASS,Co-op for sale,550000,3,2.0,1250.0,New York,40.8071957,-73.941821,183333.33333333334,440.0
"Brokered by Homes R Us Realty of NY, Inc.",Townhouse for sale,799900,3,2.3738608579684373,2058.0,Richmond County,40.5147701,-74.2022363,266633.3333333333,388.6783284742468
Brokered by RE MAX Edge,House for sale,758000,3,1.0,1200.0,New York,40.5908794,-73.9865956,252666.66666666666,631.6666666666666
"Brokered by Century 21 Amiable Realty Group II, Inc.",House for sale,829000,4,2.0,1680.0,Queens County,40.6565796,-73.8516349,207250.0,493.45238095238096
Brokered by Ilite Realty Inc,Condo for sale,789000,2,2.0,1230.0,Brooklyn,40.577533,-73.958513,394500.0,641.4634146341464
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,24990000,7,6.0,8500.0,New York County,40.7577238,-73.9597924,3570000.0,2940.0
